Crickets,10
Straight to Ale,6
Chick-fil-a,8
Sam and Greg's,9
Big Shakes,8
Earth Stone and Fire Pizza,4
Saigon,10
Toybox Bistro,10
Five Guys,7
Tenders,7
Old Black Bear,7
Pieology,7
Edo,6
Old Mexico,7
Big Ed's Pizza,5
Zaxby's,5
Main Street,8
Villa Longin,7
Donato's,4
Jersey Mike's,6
El Coyote,7
Nothing But Noodles,6
Cracker Barrel,6
Firehouse,6
Schlotzkys,6.5
Moe's Southwest,4
Saffron,7
I Love Korea,6
Gyro Uno,0
Haru,3
Libby's Catfish,6
Rosie's,3
Guadalajara,7
Red Fish,6
88 Buffet,6
Taco Bell,0
Cheddars,3
O'Charleys,3
Waffle House,0
Zoe's Kitchen,3
Madison House of Pizza,7
Top Golf,5
Wendy's,4
Logan's,3
Steak and Shake,5
China Buffet,5
IHOP,4
Panda Express,2
Arby's,0
Captain D's,0
KFC,0
Krystal,0
Sonic,0
McDonald's,0
CiCi's,2
Applebee's,0