Taqueria El Cazador,9
Crickets,8
Straight to Ale,7.5
Chick-fil-a,7
Sam and Greg's,6.5
Big Shakes,9
Texas De Brazil,10
Earth Stone and Fire Pizza,8.5
Saigon,8
Toybox Bistro,7
Five Guys,8.5
Ole Hildeberg,7
Connors,8.5
Sunny Street Cafe,8
Metro Diner,6.5
Tenders,8
Old Black Bear,5
Pieology,6
Tim's Cajun Kitchen,7.5
Farm Burger,6
Publix,6.5
Edo,7
Poke Aloha,9.5
Old Mexico,6
Big Ed's Pizza,5
Zaxby's,6
Main Street,6
Donato's,7.5
Jersey Mike's,5.5
El Coyote,9.5
Nothing But Noodles,7.5
Cracker Barrel,10
Firehouse,5
Schlotzkys,9
Moe's Southwest,7.5
Saffron,7
I Love Korea,6
Gyro Uno,6
Libby's Catfish,8
Rosie's,3
Guadalajara,6
Red Fish,6.5
Bruegger's Bagels,7
88 Buffet,9.5
Taco Bell,8
Cheddars,5.5
Waffle House,8.5
Zoe's Kitchen,3
Madison House of Pizza,8
Top Golf,5
Wendy's,4
Logan's,3
Steak and Shake,6
China Buffet,5.5
IHOP,4
New China Buffet II,4
Panda Express,3
Arby's,7
Captain D's,10
KFC,9
Krystal,1
Sonic,3
McDonald's,4
CiCi's,2
Applebee's,3