Taqueria El Cazador,10
Crickets,7
Straight to Ale,10
Chick-fil-a,8
Commerce Kitchen,9
Sam and Greg's,10
Big Shakes,6
Texas De Brazil,10
Earth Stone and Fire Pizza,10
Saigon,6
Toybox Bistro,6
Five Guys,9
Ole Hildeberg,8
Connors,8
Tenders,6
Old Black Bear,10
Big Bowl Thai,6
Pieology,9
Another Broken Egg,8
Farm Burger,7
Publix,8
Edo,8
Old Mexico,6
Big Ed's Pizza,8
Zaxby's,7
Main Street,7
Villa Longin,5
Donato's,6
Jersey Mike's,8
El Coyote,5
Nothing But Noodles,7
Cracker Barrel,8
Local Taco,7
Firehouse,8
Schlotzkys,6
Moe's Southwest,7
Saffron,6
I Love Korea,7
Gyro Uno,6
Haru,7
Libby's Catfish,7
Rosie's,8
Guadalajara,5
Red Fish,0
Bruegger's Bagels,7
88 Buffet,5
Taco Bell,5
Cheddars,7
Waffle House,8
Zoe's Kitchen,6
Madison House of Pizza,3
Top Golf,5
Wendy's,5
Logan's,8
Steak and Shake,8
China Buffet,5
IHOP,6
New China Buffet II,5
Arby's,5
Captain D's,3
KFC,4
Krystal,5
Sonic,5
McDonald's,5
CiCi's,5
Applebee's,5
Golden Corral,4